FCX CONSULTORIA EMPRESARIAL  |  DEPARTAMENTO DE MARKETING  |  PLANO DE AÇÃO E CRONOGRAMA — 1º SEMESTRE 2026;;;;;;;;;;;;;;;;;;;;;;;;;;
Responsável: Ronaldo Ferreira   |   Início do Projeto: 03/02/2026   |   Período: Mar–Jun 2026   |   Metodologia: Gantt;;;;;;;;;;;;;;;;;;;;;;;;;;
LEGENDA:;  Concluído;;  Em andamento;;  Não iniciado;;  Atrasado / Bloqueado;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
PLANO DE AÇÃO — ESTRUTURAÇÃO DO DEPARTAMENTO DE MARKETING FCX;;;;;;;;;mar/26;;;;;abr/26;;;;mai/26;;;;jun/26;;;;
;;;;;;;;;S02/03;S09/03;S16/03;S23/03;S30/03;S06/04;S13/04;S20/04;S27/04;S04/05;S11/05;S18/05;S25/05;S01/06;S08/06;S15/06;S22/06;S29/06
16;INSTAGRAM;1.2. CONTABILIDADE ALAVANCADA;Nutrição e Engajamento;Percepção de mercado + Caixa de perguntas;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.3. RONALDO FCX;;;;;;;;;;;;;;;;;;;;;;;;;;
17;INSTAGRAM;1.3. RONALDO FCX;Acesso e configuração inicial;Login + bio + linktree;Ronaldo F.;100%;02/02/2026;06/03/2026;;;;;;;;;;;;;;;;;;
18;INSTAGRAM;1.3. RONALDO FCX;Feed — Conteúdo Thought Leadership (5 posts);Posicionar Ronaldo como especialista - Ação semanal continua;Ronaldo F.;100%;02/02/2026;31/03/2026;;;;;;;;;;;;;;;;;;
19;INSTAGRAM;1.3. RONALDO FCX;Nutrição e Engajamento;Interações diárias;Ronaldo F.;30%;23/03/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.4. SUPERMERCADO ALAVANCADO;;;;;;;;;;;;;;;;;;;;;;;;;;
20;INSTAGRAM;1.4. SUPERMERCADO ALAVANCADO;Acesso — login e senha;Configurar acesso;Ronaldo F.;100%;02/03/2026;06/03/2026;;;;;;;;;;;;;;;;;;
21;INSTAGRAM;1.4. SUPERMERCADO ALAVANCADO;Feed e Destaques completos;Bio, destaques, 5 posts;Ronaldo F.;50%;16/03/2026;30/04/2026;;;;;;;;;;;;;;;;;;
22;INSTAGRAM;1.4. SUPERMERCADO ALAVANCADO;Nutrição e Engajamento;Percepção de mercado;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.5. FCX ADV;;;;;;;;;;;;;;;;;;;;;;;;;;
23;INSTAGRAM;1.5. FCX ADV;Acesso e setup completo;Login + bio + linktree + destaques;Ronaldo F.;100%;09/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
24;INSTAGRAM;1.5. FCX ADV;Feed — Conteúdo completo (5 posts);Especialidades jurídicas FCX - Postagens diárias. Ação continua;Ronaldo F.;30%;23/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
25;INSTAGRAM;1.5. FCX ADV;Nutrição e Engajamento;Interações mensais;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.6. FCX USA;;;;;;;;;;;;;;;;;;;;;;;;;;
26;INSTAGRAM;1.6. FCX USA;Acesso e configuração do perfil;Setup completo bilíngue;Ronaldo F.;100%;02/03/2026;09/03/2026;;;;;;;;;;;;;;;;;;
27;INSTAGRAM;1.6. FCX USA;Feed — Conteúdo ajustado (5 posts);PT-BR e EN — Serviços, Cases, Benefícios;Ronaldo F.;10%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
28;INSTAGRAM;1.6. FCX USA;Nutrição e Engajamento;Foco no público norte-americano;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
  ▸  FACEBOOK;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FCX CONSULTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;
29;FACEBOOK;1.1. FCX CONSULTORIA;Acesso e configuração da página;Admin, bio, links, foto de capa;Ronaldo F.;100%;09/03/2026;20/03/2026;;;;;;;;;;;;;;;;;;
30;FACEBOOK;1.1. FCX CONSULTORIA;Feed — Conteúdo espelhado do Instagram (5 posts);Reaproveitamento de conteúdo - à confirmar;Ronaldo F.;0%;23/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
      1.2. CONTABILIDADE ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
31;FACEBOOK;1.2. CONTABILIDADE ALAVANCADA;Setup e conteúdo completo;Espelho Instagram;Ronaldo F.;0%;23/03/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.3. RONALDO FCX;;;;;;;;;;;;;;;;;;;;;;;;;;
32;FACEBOOK;1.3. RONALDO FCX;Setup e conteúdo thought leadership;Posts de autoridade;Ronaldo F.;0%;01/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
      1.4. SUPERMERCADO ALAVANCADO;;;;;;;;;;;;;;;;;;;;;;;;;;
33;FACEBOOK;1.4. SUPERMERCADO ALAVANCADO;Setup e conteúdo completo;Espelho Instagram;Ronaldo F.;0%;23/03/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.5. FCX ADV;;;;;;;;;;;;;;;;;;;;;;;;;;
34;FACEBOOK;1.5. FCX ADV;Setup e conteúdo jurídico;Especialidades legais;Ronaldo F.;0%;01/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
      1.6. FCX USA;;;;;;;;;;;;;;;;;;;;;;;;;;
35;FACEBOOK;1.6. FCX USA;Setup bilíngue e conteúdo;PT-BR e EN;Ronaldo F.;0%;13/04/2026;29/05/2026;;;;;;;;;;;;;;;;;;
  ▸  LINKEDIN;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FCX CONSULTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;
36;LINKEDIN;1.1. FCX CONSULTORIA;Acesso e configuração da página empresarial;Admin, banner, about, especialidades;Ronaldo F.;100%;02/02/2026;06/03/2026;;;;;;;;;;;;;;;;;;
37;LINKEDIN;1.1. FCX CONSULTORIA;Conteúdo — Feed B2B (5 posts);Autoridade, cases, dados de mercado;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
38;LINKEDIN;1.1. FCX CONSULTORIA;Rotina de publicação semanal;Mín. 2x/semana — artigos e insights;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.2. CONTABILIDADE ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
39;LINKEDIN;1.2. CONTABILIDADE ALAVANCADA;Setup e conteúdo B2B;Direcionado a contadores e empresas;Ronaldo F.;0%;23/03/2026;01/05/2026;;;;;;;;;;;;;;;;;;
      1.3. RONALDO FCX;;;;;;;;;;;;;;;;;;;;;;;;;;
40;LINKEDIN;1.3. RONALDO FCX;Perfil pessoal — thought leadership;2 posts/semana — posicionamento de especialista;Ronaldo F.;0%;09/03/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.4. SUPERMERCADO ALAVANCADO;;;;;;;;;;;;;;;;;;;;;;;;;;
41;LINKEDIN;1.4. SUPERMERCADO ALAVANCADO;Setup e conteúdo segmento varejo;;Ronaldo F.;0%;01/04/2026;15/05/2026;;;;;;;;;;;;;;;;;;
      1.5. FCX ADV;;;;;;;;;;;;;;;;;;;;;;;;;;
42;LINKEDIN;1.5. FCX ADV;Setup e conteúdo jurídico;;Ronaldo F.;0%;01/04/2026;15/05/2026;;;;;;;;;;;;;;;;;;
      1.6. FCX USA;;;;;;;;;;;;;;;;;;;;;;;;;;
43;LINKEDIN;1.6. FCX USA;Setup bilíngue e conteúdo internacional;EN + PT-BR;Ronaldo F.;0%;13/04/2026;29/05/2026;;;;;;;;;;;;;;;;;;
  ▸  INTRANET (SHAREPOINT);;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. ARTES;;;;;;;;;;;;;;;;;;;;;;;;;;
44;INTRANET (SHAREPOINT);SHAREPOINT;Criar biblioteca de artes no SharePoint;Templates, logos, ícones, paleta de cores;Ronaldo F.;0%;09/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
45;INTRANET (SHAREPOINT);SHAREPOINT;Organizar artes por marca (FCX / ContAl / Superm / ADV / USA);Estrutura de pastas padronizada;Ronaldo F.;0%;16/03/2026;10/04/2026;;;;;;;;;;;;;;;;;;
      1.2. BANNERS;;;;;;;;;;;;;;;;;;;;;;;;;;
46;INTRANET (SHAREPOINT);MARKETING;Criar banners digitais — todos os tamanhos;Feed, stories, LinkedIn, site;Ronaldo F.;0%;16/03/2026;10/04/2026;;;;;;;;;;;;;;;;;;
47;INTRANET (SHAREPOINT);MARKETING;Criar banners impressos — eventos e feiras;Roll-up, mesa, backdrop;Ronaldo F.;0%;23/03/2026;24/04/2026;;;;;;;;;;;;;;;;;;
      1.3. VÍDEOS;;;;;;;;;;;;;;;;;;;;;;;;;;
48;INTRANET (SHAREPOINT);SHAREPOINT;Estruturar repositório de vídeos no SharePoint;Categorias: institucional, serviços, depoimentos;Ronaldo F.;0%;09/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
49;INTRANET (SHAREPOINT);MARKETING;Produzir vídeos institucionais (mín. 3);Quem somos, Serviços, Cases;Ronaldo F.;0%;23/03/2026;01/05/2026;;;;;;;;;;;;;;;;;;
      1.4. MATÉRIAS / ARTIGOS;;;;;;;;;;;;;;;;;;;;;;;;;;
50;INTRANET (SHAREPOINT);MARKETING;Criar calendário editorial trimestral;Temas: Tributário, Financeiro, Holding, Reforma;Ronaldo F.;0%;09/03/2026;20/03/2026;;;;;;;;;;;;;;;;;;
51;INTRANET (SHAREPOINT);MARKETING;Produzir e publicar 6 artigos educativos (mar–jun);Mín. 1 por quinzena;Ronaldo F.;0%;16/03/2026;30/06/2026;;;;;;;;;;;;;;;;;;
  ▸  SITE;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FCX CONSULTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;
52;SITE;1.1. FCX CONSULTORIA;Auditoria e levantamento de melhorias do site atual;SEO, velocidade, mobile, conteúdo;Ronaldo F.;0%;09/03/2026;20/03/2026;;;;;;;;;;;;;;;;;;
53;SITE;1.1. FCX CONSULTORIA;Atualizar página Sobre Nós — sócios e história;Fotos e bio dos sócios;Ronaldo F.;0%;23/03/2026;10/04/2026;;;;;;;;;;;;;;;;;;
54;SITE;1.1. FCX CONSULTORIA;Criar página de Cases e Resultados;Com dados e depoimentos reais;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
55;SITE;1.1. FCX CONSULTORIA;Implementar pop-up de captura de leads (diagnóstico gratuito);Integração com CRM;Ronaldo F.;0%;13/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
56;SITE;1.1. FCX CONSULTORIA;Otimização de SEO On-Page;Palavras-chave: tributário, financeiro, holding, reforma;Ronaldo F.;0%;01/04/2026;29/05/2026;;;;;;;;;;;;;;;;;;
      1.2. RONALDO FCX;;;;;;;;;;;;;;;;;;;;;;;;;;
57;SITE;1.2. RONALDO FCX;Criar página pessoal de autoridade;Bio, palestras, artigos, contato;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.3. FCX ADV;;;;;;;;;;;;;;;;;;;;;;;;;;
58;SITE;1.3. FCX ADV;Criar ou revisar página FCX ADV;Serviços jurídicos, equipe, contato;Ronaldo F.;0%;01/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
      1.4. FCX USA;;;;;;;;;;;;;;;;;;;;;;;;;;
59;SITE;1.4. FCX USA;Comprar domínios fcx-bc.com e fcxus.com;Aguardando pagamento — prioridade alta;Ronaldo F.;0%;02/03/2026;13/03/2026;;;;;;;;;;;;;;;;;;
60;SITE;1.4. FCX USA;Estruturar site FCX USA bilíngue (EN + PT-BR);Serviços, quem somos, contato USA;Ronaldo F.;0%;16/03/2026;29/05/2026;;;;;;;;;;;;;;;;;;
  ▸  LANDING PAGE;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. CONTABILIDADE ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
61;SITE;1.1. CONTABILIDADE ALAVANCADA;Criar landing page de conversão;Headline, prova social, CTA, formulário;Ronaldo F.;0%;01/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
62;SITE;1.1. CONTABILIDADE ALAVANCADA;Integrar LP ao CRM e WhatsApp;Automação de follow-up;Ronaldo F.;0%;24/04/2026;15/05/2026;;;;;;;;;;;;;;;;;;
      1.2. SUPERMERCADO ALAVANCADO;;;;;;;;;;;;;;;;;;;;;;;;;;
63;SITE;1.2. SUPERMERCADO ALAVANCADO;Criar landing page de conversão — varejo;Resultados específicos do segmento;Ronaldo F.;0%;13/04/2026;09/05/2026;;;;;;;;;;;;;;;;;;
64;SITE;1.2. SUPERMERCADO ALAVANCADO;Integrar LP ao CRM;;Ronaldo F.;0%;04/05/2026;22/05/2026;;;;;;;;;;;;;;;;;;
      1.3. INDÚSTRIA ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
65;SITE;1.3. INDÚSTRIA ALAVANCADA;Criar landing page de conversão — indústria;Resultados para indústrias e manufatura;Ronaldo F.;0%;04/05/2026;29/05/2026;;;;;;;;;;;;;;;;;;
66;SITE;1.3. INDÚSTRIA ALAVANCADA;Integrar LP ao CRM;;Ronaldo F.;0%;18/05/2026;05/06/2026;;;;;;;;;;;;;;;;;;
  ▸  GOOGLE ADS;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FCX CONSULTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;
67;GOOGLE ADS;1.1. FCX CONSULTORIA;Criar conta Google Ads e configurar acesso;MCC e tag de conversão no site;Ronaldo F.;0%;01/04/2026;10/04/2026;;;;;;;;;;;;;;;;;;
68;GOOGLE ADS;1.1. FCX CONSULTORIA;Pesquisa de palavras-chave — tributário / financeiro;Ferramentas: Keyword Planner + SEMrush;Ronaldo F.;0%;01/04/2026;17/04/2026;;;;;;;;;;;;;;;;;;
69;GOOGLE ADS;1.1. FCX CONSULTORIA;Criar campanha Search — FCX Consultoria;Palavras-chave: recuperação tributária, holding, reforma;Ronaldo F.;0%;13/04/2026;30/04/2026;;;;;;;;;;;;;;;;;;
      1.2. CONTABILIDADE ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
70;GOOGLE ADS;1.2. CONTABILIDADE ALAVANCADA;Criar campanha Search — Contabilidade Alavancada;Segmentação: contadores e pequenas empresas;Ronaldo F.;0%;24/04/2026;15/05/2026;;;;;;;;;;;;;;;;;;
      1.3. SUPERMERCADO ALAVANCADO;;;;;;;;;;;;;;;;;;;;;;;;;;
71;GOOGLE ADS;1.3. SUPERMERCADO ALAVANCADO;Criar campanha Search — Supermercado Alavancado;Segmentação: varejo e distribuidoras;Ronaldo F.;0%;04/05/2026;22/05/2026;;;;;;;;;;;;;;;;;;
      1.4. INDÚSTRIA ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
72;GOOGLE ADS;1.4. INDÚSTRIA ALAVANCADA;Criar campanha Search — Indústria;Segmentação: indústrias e manufatura;Ronaldo F.;0%;18/05/2026;05/06/2026;;;;;;;;;;;;;;;;;;
      1.5. FCX ADV;;;;;;;;;;;;;;;;;;;;;;;;;;
73;GOOGLE ADS;1.5. FCX ADV;Criar campanha Search — FCX ADV;Segmentação: empresas com passivos fiscais;Ronaldo F.;0%;18/05/2026;05/06/2026;;;;;;;;;;;;;;;;;;
      Acompanhamento;;;;;;;;;;;;;;;;;;;;;;;;;;
74;GOOGLE ADS;MARKETING;Relatório mensal de performance e otimização;CTR, CPC, conversões, ROAS;Ronaldo F.;0%;01/05/2026;30/06/2026;;;;;;;;;;;;;;;;;;
  ▸  LIVES E WEBINARS;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FCX CONSULTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;
75;LIVES E WEBINARS;1.1. FCX CONSULTORIA;Semana Compensações Indevidas (Live série 4 episódios);Temas: Títulos, Precatórios, Créditos Terceiros, Reporto, ICMS;Ronaldo F.;0%;30/03/2026;17/04/2026;;;;;;;;;;;;;;;;;;
76;LIVES E WEBINARS;1.1. FCX CONSULTORIA;Semana Jurídica (Live série 4 episódios);Transações, Penhoras, IAS, Liminar Simples, DIFAL;Ronaldo F.;0%;20/04/2026;08/05/2026;;;;;;;;;;;;;;;;;;
77;LIVES E WEBINARS;1.1. FCX CONSULTORIA;Semana Holding (Live série 3 episódios);Erros de contadores: regime bens, contratos, doações;Ronaldo F.;0%;11/05/2026;29/05/2026;;;;;;;;;;;;;;;;;;
78;LIVES E WEBINARS;1.1. FCX CONSULTORIA;Webinar Reforma Tributária — impactos práticos;Foco em PMEs e indústria;Ronaldo F.;0%;06/04/2026;10/04/2026;;;;;;;;;;;;;;;;;;
      1.2. CONTABILIDADE ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
79;LIVES E WEBINARS;1.2. CONTABILIDADE ALAVANCADA;Live mensal para contadores — insights e cases;Mínimo 1 por mês (abr, mai, jun);Ronaldo F.;0%;01/04/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.3. RONALDO FCX;;;;;;;;;;;;;;;;;;;;;;;;;;
80;LIVES E WEBINARS;1.3. RONALDO FCX;Live Ronaldo FCX — Papo de Negócios (mensal);Entrevista com empresários e cases de sucesso;Ronaldo F.;0%;01/04/2026;30/06/2026;;;;;;;;;;;;;;;;;;
  ▸  PALESTRAS;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. ASSOCIAÇÕES;;;;;;;;;;;;;;;;;;;;;;;;;;
81;PALESTRAS;FCX CONSULTORIA;Mapear e contatar associações RJ e SP;CRC, SESCON, CDL, ACSP, Sindicatos;Ronaldo F.;0%;09/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
82;PALESTRAS;FCX CONSULTORIA;Agendar 2 palestras por associação (abr-jun);Programa: Educação Corporativa Colaborativa;Ronaldo F.;0%;23/03/2026;24/04/2026;;;;;;;;;;;;;;;;;;
83;PALESTRAS;FCX CONSULTORIA;Executar palestras trimestrais presenciais;Temas: Compensações, Lucro Sócios, Holding, Reforma;Ronaldo F.;0%;01/04/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.2. MERCADOS;;;;;;;;;;;;;;;;;;;;;;;;;;
84;PALESTRAS;MARKETING;Mapear empresas-alvo e contatos nos mercados-chave;Varejo, Indústria, Advocacia, Óleo & Gás;Ronaldo F.;0%;09/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
85;PALESTRAS;MARKETING;Agendar e executar palestras no mercado (abr-jun);Mín. 1 por mês;Ronaldo F.;0%;01/04/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.3. CONTABILIDADES;;;;;;;;;;;;;;;;;;;;;;;;;;
86;PALESTRAS;1.3. CONTABILIDADES;Mapear escritórios de contabilidade parceiros RJ/SP;Foco em Contabilidade Alavancada;Ronaldo F.;0%;16/03/2026;10/04/2026;;;;;;;;;;;;;;;;;;
87;PALESTRAS;1.3. CONTABILIDADES;Executar rodada de palestras em contabilidades (abr-jun);Programa Educação Corporativa;Ronaldo F.;0%;01/04/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.4. INDÚSTRIA;;;;;;;;;;;;;;;;;;;;;;;;;;
88;PALESTRAS;1.4. INDÚSTRIA;Mapear associações e parques industriais prioritários;RJ, SP e MG;Ronaldo F.;0%;16/03/2026;10/04/2026;;;;;;;;;;;;;;;;;;
89;PALESTRAS;1.4. INDÚSTRIA;Executar palestras para indústrias (mai-jun);Mín. 2 palestras;Ronaldo F.;0%;01/05/2026;30/06/2026;;;;;;;;;;;;;;;;;;
  ▸  PROJETO A TRINCA;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FCX CONSULTORIA;;;;;;;;;;;;;;;;;;;;;;;;;;
90;INSTAGRAM;1.1. FCX CONSULTORIA;Definir formato e roteiro do Projeto A Trinca;Ronaldo + Lucas + Sérgio — podcast/série;Ronaldo F.;0%;16/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
91;INSTAGRAM;1.1. FCX CONSULTORIA;Gravar episódio piloto (A Trinca #01);Tema: Compensações Indevidas na prática;Ronaldo F.;0%;01/04/2026;17/04/2026;;;;;;;;;;;;;;;;;;
      1.2. CONTABILIDADE ALAVANCADA;;;;;;;;;;;;;;;;;;;;;;;;;;
92;INSTAGRAM;1.2. CONTABILIDADE ALAVANCADA;Gravar episódio A Trinca — contabilidade #01;Tema: Como alavancou escritórios contábeis;Ronaldo F.;0%;20/04/2026;08/05/2026;;;;;;;;;;;;;;;;;;
      1.3. RONALDO FCX;;;;;;;;;;;;;;;;;;;;;;;;;;
93;INSTAGRAM;1.3. RONALDO FCX;Gravar episódio A Trinca — cases empresariais #01;Case real de cliente — resultados comprovados;Ronaldo F.;0%;11/05/2026;29/05/2026;;;;;;;;;;;;;;;;;;
  ▸  EVENTOS E FEIRAS;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. FEIRAS COMO EXPOSITOR;;;;;;;;;;;;;;;;;;;;;;;;;;
94;EVENTOS E FEIRAS;MARKETING;Mapear feiras prioritárias RJ, SP, MG;Restaurantes, Óleo & Gás, Náutico, Advocacia, Varejo;Ronaldo F.;0%;09/03/2026;31/03/2026;;;;;;;;;;;;;;;;;;
95;EVENTOS E FEIRAS;MARKETING;Contratar espaço e montar kit expositor (1 feira piloto);Banner, brochura, uniforme, rollup;Ronaldo F.;0%;01/04/2026;01/05/2026;;;;;;;;;;;;;;;;;;
96;EVENTOS E FEIRAS;MARKETING;Participar da feira piloto com equipe treinada;Meta: 50+ leads qualificados;Ronaldo F.;0%;01/05/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.2. EVENTOS EXTERNOS;;;;;;;;;;;;;;;;;;;;;;;;;;
97;EVENTOS E FEIRAS;MARKETING;Mapear eventos de networking e negócios (abr-jun);Eventos presenciais em RJ e SP;Ronaldo F.;0%;16/03/2026;10/04/2026;;;;;;;;;;;;;;;;;;
98;EVENTOS E FEIRAS;MARKETING;Participar de 2 eventos/mês com pitch institucional;Meta de networking: 20 contatos por evento;Ronaldo F.;0%;01/04/2026;30/06/2026;;;;;;;;;;;;;;;;;;
      1.3. EVENTOS INTERNOS;;;;;;;;;;;;;;;;;;;;;;;;;;
99;EVENTOS E FEIRAS;MARKETING;Planejar 1 evento interno FCX por trimestre;Palestras, networking e cases internos;Ronaldo F.;0%;23/03/2026;30/04/2026;;;;;;;;;;;;;;;;;;
100;EVENTOS E FEIRAS;MARKETING;Executar 1º Evento Interno FCX (junho/26);Convidados: clientes, parceiros, embaixadores;Ronaldo F.;0%;01/05/2026;30/06/2026;;;;;;;;;;;;;;;;;;
  ▸  MATERIAIS DE APOIO;;;;;;;;;;;;;;;;;;;;;;;;;;
      1.1. PALESTRAS;;;;;;;;;;;;;;;;;;;;;;;;;;
